Original Instance,Chunk File,Cost,Exec Time (s),Status/Notes
Emilia-Romagna,Emilia-Romagna_chunk_27.vrp,7370850.0,180.21,OK
Emilia-Romagna,Emilia-Romagna_chunk_270.vrp,2572400.0,180.1,OK
Emilia-Romagna,Emilia-Romagna_chunk_271.vrp,6199720.0,182.43,OK
Emilia-Romagna,Emilia-Romagna_chunk_272.vrp,1092820.0,180.1,OK
Emilia-Romagna,Emilia-Romagna_chunk_273.vrp,8860290.0,180.75,OK
Emilia-Romagna,Emilia-Romagna_chunk_274_sweep_0.vrp,10052200.0,180.13,OK
Emilia-Romagna,Emilia-Romagna_chunk_274_sweep_1.vrp,10124300.0,180.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_274_sweep_2.vrp,10135600.0,180.71,OK
Emilia-Romagna,Emilia-Romagna_chunk_274_sweep_3.vrp,10143300.0,180.41,OK
Emilia-Romagna,Emilia-Romagna_chunk_274_sweep_4.vrp,10239400.0,180.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_275.vrp,5546780.0,183.02,OK
Emilia-Romagna,Emilia-Romagna_chunk_276.vrp,4667040.0,180.64,OK
Emilia-Romagna,Emilia-Romagna_chunk_277.vrp,8586220.0,182.6,OK
Emilia-Romagna,Emilia-Romagna_chunk_278.vrp,1354380.0,180.54,OK
Emilia-Romagna,Emilia-Romagna_chunk_279.vrp,3060340.0,180.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_28.vrp,18244000.0,183.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_280_sweep_0.vrp,ERROR,0,No feasible route found in 60s.
Emilia-Romagna,Emilia-Romagna_chunk_280_sweep_1.vrp,12027900.0,180.29,OK
Emilia-Romagna,Emilia-Romagna_chunk_280_sweep_2.vrp,12066400.0,180.14,OK
Emilia-Romagna,Emilia-Romagna_chunk_280_sweep_3.vrp,ERROR,0,No feasible route found in 60s.
Emilia-Romagna,Emilia-Romagna_chunk_280_sweep_4.vrp,12354600.0,180.23,OK
Emilia-Romagna,Emilia-Romagna_chunk_280_sweep_5.vrp,12204000.0,180.56,OK
Emilia-Romagna,Emilia-Romagna_chunk_281.vrp,832982.0,180.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_282.vrp,2214980.0,180.05,OK
Emilia-Romagna,Emilia-Romagna_chunk_283.vrp,3989070.0,180.59,OK
Emilia-Romagna,Emilia-Romagna_chunk_284.vrp,6032150.0,180.15,OK
Emilia-Romagna,Emilia-Romagna_chunk_285.vrp,7790390.0,180.46,OK
Emilia-Romagna,Emilia-Romagna_chunk_286.vrp,ERROR,0,"Crash: Command '['/home/ubuntu/cvrp/baselines/HGS-CVRP/build/hgs', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_286.vrp', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_286.sol', '-t', '180', '-seed', '42']' timed out after 190 seconds"
Emilia-Romagna,Emilia-Romagna_chunk_287.vrp,8644580.0,180.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_288_sweep_0.vrp,11496000.0,180.53,OK
Emilia-Romagna,Emilia-Romagna_chunk_288_sweep_1.vrp,11826000.0,180.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_288_sweep_2.vrp,11869200.0,180.22,OK
Emilia-Romagna,Emilia-Romagna_chunk_288_sweep_3.vrp,11694300.0,180.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_289.vrp,275030.0,180.24,OK
Emilia-Romagna,Emilia-Romagna_chunk_29.vrp,4458040.0,181.86,OK
Emilia-Romagna,Emilia-Romagna_chunk_290.vrp,7591800.0,180.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_291.vrp,13532400.0,180.66,OK
